b06703045,2.5,2.5,2.25,1.75,,2.5,2.25,2.25,2.5,2.5,2.25,,,
b06703053,2,2.5,2.5,2.5,,2.5,1.75,2.5,2.5,2.25,2.5,,,
b06703054,,,2.25,,,2.5,2,,,2.25,,,,
b06703065,2,2,,2.25,,,,,1.5,,2.5,,,
b06703066,1.25,2,2.25,2,2.5,2.5,1.5,2,2,2,2.5,,,
b06703067,2,2,2,,1.75,2.5,,2,2,2.25,1.75,,,
b06703070,2,2.5,2.5,2.5,2.25,2.5,2.25,2.25,2.25,2.25,2,,,
b06703086,2,2.5,2.25,2.25,2.5,2.5,2.25,2,2.5,2.25,2.5,,,
b06703099,2,2,2.5,2.25,2.25,2.5,2.25,2.5,1.75,2.25,2.5,,,
b06703123,,,,,,,,,,,,,,
b06703130,2,1.5,1.25,2.5,2,2.5,2,2,2.5,1.5,2.5,,,
b06703061,2.5,2.5,2.5,2.5,1.75,2.5,2,2,2.5,2.5,2.5,,,
b05703031,2,,2.5,,,,2.25,,2.5,,2.25,,,
b05703063,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,
t07704213,1.75,2.5,2.5,1.75,1.75,,1.25,2,,2.25,2.5,,,
t07704214,1.75,2.5,2,2.25,,,1.5,2.5,2,,1.75,,,
t07704303,1.5,2.5,2.5,2.25,2.25,,2,2.25,2.5,2.25,2.5,,,
b06704023,,,,,,,,,,,,,,
b06704014,,2.5,2.5,1.75,2,2.25,1.5,,,2.25,2.25,,,
b05704013,2,,,,,,,,,,,,,
b05704036,1.25,2,2.25,2.25,2.25,2.5,1.5,2,2.25,,2.5,,,
b05704087,1.75,,,,,,,,,,,,,
b06734047,1.5,2.5,2.25,2.25,2.5,2.5,1.5,2,2.25,2.25,2,,,
b04507027,,2.5,2.5,2.25,,1.75,1.75,1.5,2.25,2,2.5,,,
b07901032,2,2.5,2.25,2.5,,2.5,2.25,2.5,1.75,2.25,2.25,,,
b06902080,2,2.5,2.5,2,,2.5,2.5,2.5,2.5,2.5,2.5,,,
b05902070,,,,,,,,,,,,,,
b05902101,1.25,2.5,2.5,2,2.5,2.5,,2.25,2,,2.5,,,
b05902114,1.75,2.5,2.5,2.5,,2,2,2.25,2.25,2.5,2.5,,,
b05902128,,,,,,,,,,,,,,
b06a01132,2,2.5,2.5,2.25,1.75,2.5,2,1.75,2.25,2,2.5,,,
b06a01142,2,2.5,2.5,2.5,1.75,2.5,1.75,2,2,2,2,,,
b04109034,2,2,2.25,2.5,,2.5,1.5,2,2.25,2.25,1.5,,,
b06801009,2,2.5,2.25,2,2.25,2.5,,,,,,,,
